date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:29	297773/297773	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2016:04:11%20GMT	https://ctlcompany.com/wp-content/uploads/2022/01/invernaderos-inteligentes-e1642694651593.png	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/uploads/2022/01/invernaderos-inteligentes-e1642694651593.png	(from https://ctlcompany.com/)
11:28:30	140175/140175	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2016:00:35%20GMT	https://ctlcompany.com/wp-content/uploads/2022/01/Imagen4-e1642694434775.png	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/uploads/2022/01/Imagen4-e1642694434775.png	(from https://ctlcompany.com/)
11:28:30	54768/54768	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2016:02:30%20GMT	https://ctlcompany.com/wp-content/uploads/2021/08/idiomas-e1642694550542.png	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/uploads/2021/08/idiomas-e1642694550542.png	(from https://ctlcompany.com/)
11:28:30	21410/21410	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Jan%202022%2016:03:09%20GMT	https://ctlcompany.com/wp-content/uploads/2021/08/location-salles-blanches-e1642694589564.jpg	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/uploads/2021/08/location-salles-blanches-e1642694589564.jpg	(from https://ctlcompany.com/)
11:28:31	11775/11775	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Aug%202022%2014:10:51%20GMT	https://ctlcompany.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://ctlcompany.com/)
11:28:32	1025/1025	---M--	200	added ('OK')	text/css	date:Thu,%2021%20Jul%202022%2012:10:40%20GMT	https://ctlcompany.com/wp-content/themes/astra/assets/css/minified/galleries.min.css?ver=3.9.2	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/themes/astra/assets/css/minified/galleries.min2e46.css	(from https://ctlcompany.com/)
11:28:32	16935/16935	---M--	200	added ('OK')	application/javascript	date:Wed,%2007%20Sep%202022%2010:59:14%20GMT	https://ctlcompany.com/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=3.9.2	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/themes/astra/assets/js/minified/frontend.min2e46.js	(from https://ctlcompany.com/)
11:28:33	6475/6475	---M--	200	added ('OK')	application/javascript	date:Wed,%2025%20May%202022%2002:20:46%20GMT	https://ctlcompany.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://ctlcompany.com/)
11:28:34	19142/19142	---M--	200	added ('OK')	application/javascript	date:Wed,%2025%20May%202022%2002:20:46%20GMT	https://ctlcompany.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://ctlcompany.com/)
11:28:35	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2014%20Oct%202022%2016:28:34%20GMT	https://ctlcompany.com/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.6.2	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/contact-form-7/includes/js/index.2f4c7e.delayed	(from https://ctlcompany.com/)
11:28:36	3037/3037	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:11:25%20GMT	https://ctlcompany.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=6.8.2	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min6c2d.js	(from https://ctlcompany.com/)
11:28:36	1834/1834	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:11:25%20GMT	https://ctlcompany.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.6.8.2	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.minf98d.js	(from https://ctlcompany.com/)
11:28:37	2139/2139	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:11:25%20GMT	https://ctlcompany.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=6.8.2	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min6c2d.js	(from https://ctlcompany.com/)
11:28:38	2938/2938	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:11:25%20GMT	https://ctlcompany.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=6.8.2	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min6c2d.js	(from https://ctlcompany.com/)
11:28:39	29793/29793	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:10:43%20GMT	https://ctlcompany.com/wp-content/plugins/advanced-woo-search/assets/js/common.js?ver=2.61	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/advanced-woo-search/assets/js/commona4b6.js	(from https://ctlcompany.com/)
11:28:40	7996/7996	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:11:09%20GMT	https://ctlcompany.com/wp-content/plugins/creame-whatsapp-me/public/js/joinchat.min.js?ver=4.5.9	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/creame-whatsapp-me/public/js/joinchat.minface.js	(from https://ctlcompany.com/)
11:28:40	145/145	---MCZ	400	error ('Bad%20Request')	text/html	date:Fri,%2014%20Oct%202022%2016:28:39%20GMT	https://www.google.com/recaptcha/api.js?render=6LcWTwwcAAAAAE2w7DhQVTYiqI0fhyIKUgVLrEG_&ver=3.0	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/www.google.com/recaptcha/api.37764e.delayed	(from https://ctlcompany.com/)
11:28:41	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2014%20Oct%202022%2016:28:40%20GMT	https://ctlcompany.com/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=5.6.2	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/contact-form-7/modules/recaptcha/index.384c7e.delayed	(from https://ctlcompany.com/)
11:28:42	4957/4957	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:10:51%20GMT	https://ctlcompany.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.7.3	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min1ac1.js	(from https://ctlcompany.com/)
11:28:43	32929/32929	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:10:51%20GMT	https://ctlcompany.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.7.3	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/elementor/assets/js/frontend-modules.min1ac1.js	(from https://ctlcompany.com/)
